index,image,PSNR,SSIM,LPIPS
0,00000.png,43.57089262304871,0.9955870507165074,0.006489232182502747
3,00003.png,43.90721071132417,0.9960106351088528,0.00627100421115756
6,00006.png,43.90997703972042,0.9960231849234712,0.006072573363780975
9,00009.png,43.83180370218052,0.9962663749898238,0.005820604972541332
12,00012.png,43.553451143612,0.9962501236383334,0.005766525864601135
15,00015.png,43.449835244418644,0.9959030788895138,0.0061188931576907635
18,00018.png,43.459728036947865,0.9959285737859265,0.006182211916893721
21,00021.png,43.29620641597485,0.9956546442027364,0.0065603400580585
24,00024.png,43.004129035193195,0.9949506330927776,0.006722902879118919
27,00027.png,42.608259431055856,0.9951098412627807,0.0067920079454779625
30,00030.png,42.45161863878863,0.9953006922590804,0.006704250350594521
33,00033.png,41.486013910896816,0.9948074625444991,0.007075595203787088
36,00036.png,41.40895523537941,0.9942191170379611,0.0071915751323103905
39,00039.png,41.91813509004099,0.9948511551473166,0.007789690978825092
42,00042.png,42.17686045967945,0.9952863237652343,0.007297242991626263
45,00045.png,42.40158848369023,0.9954325200537921,0.007128964178264141
48,00048.png,42.499313339427886,0.9955114318136409,0.006891926750540733
51,00051.png,43.063100296419776,0.9957818537811555,0.006413072347640991
54,00054.png,43.28423855658261,0.9957795481389902,0.0065452102571725845
57,00057.png,43.659915742153544,0.9957667244487383,0.005931078922003508
60,00060.png,43.50118516833122,0.9956224392450932,0.006698428187519312
63,00063.png,44.207276064036634,0.9958098245252806,0.007268892601132393
66,00066.png,44.196456510728154,0.9958439622269282,0.007787526585161686
69,00069.png,43.89356263936493,0.9959835417460989,0.00785005558282137
72,00072.png,44.2743036413391,0.9961692571899977,0.0068692658096551895
75,00075.png,44.016475935484884,0.9959894264358387,0.006683324463665485
78,00078.png,43.83561578931339,0.9959621763666945,0.006360081024467945
81,00081.png,47.078313810869936,0.9983399210681758,0.0033287887927144766
84,00084.png,45.72781075214791,0.9980271866234457,0.0034251464530825615
87,00087.png,45.280854086667915,0.9978343457198803,0.003280149307101965
90,00090.png,41.1477657538212,0.9943908814925189,0.00743091432377696
93,00093.png,40.53338306336141,0.9936010220670676,0.007674255408346653
96,00096.png,35.1835405552573,0.9909322884500004,0.008231687359511852
99,00099.png,40.72194529854252,0.9942049833019296,0.008015550673007965
102,00102.png,41.66571823990055,0.9947567723382934,0.007928937673568726
105,00105.png,41.20452575249699,0.9947701559658652,0.008637147955596447
108,00108.png,41.51364780561468,0.9946821660338695,0.0075408900156617165
111,00111.png,42.36893542892081,0.9954582831991394,0.006931145675480366
114,00114.png,43.23732117288657,0.9959992970536113,0.0069939992390573025
117,00117.png,43.124752371438674,0.9957754915203001,0.007007504813373089
120,00120.png,43.72276945268204,0.9958075033465532,0.00672589335590601
123,00123.png,42.318543201871194,0.9955559939927929,0.007354798726737499
126,00126.png,38.08656078942546,0.9952111610882325,0.008194811642169952
129,00129.png,37.95198509433551,0.9949920085747378,0.00846210028976202
132,00132.png,41.778824302398256,0.9956826941324047,0.007130555808544159
135,00135.png,42.83959306979582,0.9959764201169399,0.00731558445841074
138,00138.png,43.27796765139739,0.9958606707180018,0.006546216085553169
141,00141.png,46.08233374551379,0.9984211048079933,0.0030196814332157373
144,00144.png,45.24020660928623,0.9979857237556403,0.003364388830959797
147,00147.png,45.32007279280719,0.9979144578086154,0.0030335381161421537
150,00150.png,39.88644622999353,0.9941175730943934,0.007688872050493956
153,00153.png,34.36327864436938,0.9901206389553424,0.007896390743553638
156,00156.png,35.208228569782094,0.9927797217830421,0.007954636588692665
159,00159.png,35.94052306231724,0.9937048780339366,0.008880791254341602
162,00162.png,37.50962161659455,0.993001442924239,0.008950329385697842
165,00165.png,39.550065584367275,0.9925260336353903,0.008753307163715363
168,00168.png,42.01210624133759,0.9948914825864646,0.008049063384532928
171,00171.png,42.085724211151415,0.9953455921744987,0.007475316058844328
174,00174.png,42.5503409158264,0.9958739975621131,0.0067743840627372265
177,00177.png,43.331155713945634,0.9961060913724517,0.0062490529380738735
180,00180.png,43.338517666349865,0.9961724637209985,0.006151637528091669
183,00183.png,36.77047835703697,0.9951486757091155,0.00788397528231144
186,00186.png,39.82884032628613,0.9960083025709824,0.007913254201412201
189,00189.png,39.787318295831554,0.9956460081832681,0.007889382541179657
192,00192.png,42.838440538017664,0.9959043242992943,0.007200028747320175
195,00195.png,42.810661683214434,0.9959059950762773,0.00640961155295372
198,00198.png,41.74177414083191,0.9957679969392064,0.006041898392140865
201,00201.png,45.715888760807,0.9983587578998407,0.0030566579662263393
204,00204.png,44.57538756362882,0.9977227099674429,0.0033279217313975096
207,00207.png,44.47264097931061,0.9977724233753924,0.0032925172708928585
210,00210.png,22.983539753817155,0.979916548728518,0.03263178467750549
213,00213.png,26.53667878499104,0.9851902546155508,0.016617847606539726
216,00216.png,34.23824312857159,0.9936153074795766,0.007691803388297558
219,00219.png,37.015542890365445,0.9950184240452483,0.008034179918467999
222,00222.png,35.86166933153915,0.9934829442230627,0.00942234881222248
225,00225.png,40.29068659442868,0.9948572575452571,0.008930717594921589
228,00228.png,41.59072337782969,0.9950305291633617,0.008607380092144012
231,00231.png,38.74294924752441,0.9956842044981542,0.007702019065618515
234,00234.png,42.55592679926565,0.9959864117178694,0.006646499969065189
237,00237.png,43.74997328230477,0.9965500522071731,0.005626173689961433
240,00240.png,42.943802358972825,0.9963981552797327,0.005301836412400007
243,00243.png,38.456356549774206,0.9957452860150836,0.007179224863648415
246,00246.png,41.90961155085684,0.9963586067758877,0.0069509814493358135
249,00249.png,42.163314453286574,0.9966250735985264,0.0070175305008888245
252,00252.png,41.66074368086734,0.9961633221846445,0.006293960381299257
255,00255.png,40.85079250014854,0.9960552320990015,0.0059588514268398285
258,00258.png,40.847317949027364,0.995529331677324,0.0057929446920752525
261,00261.png,44.23005324887253,0.9979254284253352,0.003434346057474613
264,00264.png,44.10604728919046,0.997495185067333,0.0033622542396187782
267,00267.png,43.196190494900726,0.9961004381620486,0.0038560666143894196
270,00270.png,25.996440497327406,0.9832828511345086,0.02126677706837654
273,00273.png,35.27865339193469,0.9931734156957844,0.007883209735155106
276,00276.png,36.68704288903817,0.9922191257850402,0.007880196906626225
279,00279.png,36.25973644317315,0.9938944865764523,0.007385654840618372
282,00282.png,36.60986718831016,0.9948366210788241,0.009320812299847603
285,00285.png,41.02359504588545,0.9950241247908983,0.00908051896840334
288,00288.png,40.083187684577325,0.9955667468592089,0.008527644909918308
291,00291.png,40.79221580941826,0.9961160298611443,0.007940469309687614
294,00294.png,42.32562330359336,0.9964887214084502,0.006575983017683029
297,00297.png,43.72168117497968,0.9968534448801352,0.004917396232485771
300,00300.png,41.31937683151669,0.9966031607963292,0.005536166951060295
303,00303.png,38.67908971733453,0.9965914221597452,0.006380567792803049
306,00306.png,41.721146041945794,0.9966925037054182,0.00587994372472167
309,00309.png,42.64381856886171,0.9968250548087051,0.0058936914429068565
312,00312.png,40.682963155516035,0.9970238766807978,0.005179674830287695
315,00315.png,34.004164231130915,0.9921525874222759,0.0094478540122509
318,00318.png,34.20484797140833,0.9946812427125712,0.008188946172595024
321,00321.png,45.868716832693025,0.9993196797036275,0.0023946668952703476
324,00324.png,44.6034123121802,0.9979512253081034,0.0032063426915556192
327,00327.png,42.24567165824763,0.9953836239025644,0.006242087110877037
330,00330.png,39.0874959549405,0.9948085181881182,0.006028811912983656
333,00333.png,39.418104837673376,0.9953025371501755,0.006552544422447681
336,00336.png,40.2818552657739,0.9951350141508261,0.00801224447786808
339,00339.png,42.75365507354333,0.9955347572554178,0.0068069458939135075
342,00342.png,35.487146194345165,0.9952395971388108,0.008119817823171616
345,00345.png,39.98925449127274,0.9941781188780412,0.009019593708217144
348,00348.png,41.404149401411594,0.9959752253111465,0.008056340739130974
351,00351.png,40.26219624251739,0.9958678305738783,0.00780765525996685
354,00354.png,41.981593016993514,0.9964063950142615,0.007051330991089344
357,00357.png,43.39815839568872,0.997183568412468,0.005159534513950348
360,00360.png,38.95783702188044,0.9968513159929374,0.005729068536311388
363,00363.png,38.020909333766014,0.9966929576815731,0.005992932710796595
366,00366.png,41.04758574224577,0.9972743365219197,0.0040377164259552956
369,00369.png,40.65566850395258,0.9963087250050817,0.005846658255904913
372,00372.png,39.45126338730651,0.9971089085232888,0.005304296035319567
375,00375.png,34.92534787817458,0.9930411345981823,0.006351173389703035
378,00378.png,33.96776889675956,0.9942570985672161,0.008895991370081902
384,00384.png,42.11372490073211,0.9966804303010075,0.003805323038250208
387,00387.png,43.49413762789303,0.9966520773828011,0.004631464369595051
390,00390.png,42.70653148955895,0.9962878739109284,0.005649915896356106
393,00393.png,42.54874475302333,0.9959257150394969,0.006442160811275244
396,00396.png,42.24168131897252,0.9955647200521908,0.0076994625851511955
399,00399.png,43.055390769054185,0.9961904671096398,0.0067042456939816475
402,00402.png,43.390326979689995,0.996353118057347,0.00807881634682417
405,00405.png,37.854384135770204,0.9942261080542384,0.008915431797504425
408,00408.png,42.83508403418669,0.9964999903198684,0.0075018564239144325
411,00411.png,37.51989576404228,0.9962483758798835,0.008815377950668335
414,00414.png,42.960718258674,0.9967373740205611,0.007308403495699167
417,00417.png,43.07534044193637,0.9974192711217692,0.005267187021672726
420,00420.png,39.58894015649678,0.9965174675151519,0.006599372252821922
423,00423.png,40.28799897956858,0.9974518381733586,0.005619966425001621
429,00429.png,39.30620539821686,0.9969710149153749,0.003393182996660471
432,00432.png,39.55048893521067,0.9977168511959381,0.005191785283386707
435,00435.png,35.084232676742225,0.9986389590281093,0.002299112733453512
438,00438.png,39.72132824382926,0.9959022813486862,0.00684740487486124
441,00441.png,41.100529444142175,0.9965951159424795,0.005250309593975544
444,00444.png,44.34818049004971,0.9982325423896319,0.0014520167605951428
447,00447.png,43.466160042138966,0.9973250091198886,0.0026382403448224068
450,00450.png,44.660108795906844,0.9971689068061163,0.004397389478981495
453,00453.png,43.11259990909659,0.995932270366373,0.006261773873120546
456,00456.png,42.3194012494193,0.9953788882740789,0.00920296274125576
459,00459.png,42.01451867360937,0.9955131887757079,0.007986821234226227
462,00462.png,43.023387200944015,0.9960924595949776,0.008104003965854645
465,00465.png,43.489309146368214,0.9960638849974007,0.008897185325622559
468,00468.png,41.11988038553206,0.9966339542944475,0.0082422299310565
471,00471.png,40.14817384632344,0.9956018801474303,0.009908242151141167
474,00474.png,40.47465911064692,0.9961839385750794,0.009132429026067257
477,00477.png,42.80408186658015,0.9976044843365663,0.00615880498662591
480,00480.png,41.16911752657785,0.9974236801535648,0.005211869720369577
483,00483.png,40.58373678523681,0.9972376857364047,0.0062783281318843365
486,00486.png,48.06932199343355,0.9993336464848671,0.0016480525955557823
489,00489.png,40.97581516652207,0.9976756631418466,0.003171922406181693
492,00492.png,39.12928555069961,0.997728158978647,0.005582273006439209
495,00495.png,39.80373227505353,0.998571344429606,0.002392089692875743
498,00498.png,36.44717667277429,0.9967798638420333,0.009378617629408836
501,00501.png,36.3170519908805,0.9960450978969193,0.006906027905642986
510,00510.png,42.91511930063286,0.9965422885774636,0.005866603925824165
513,00513.png,41.50405366708039,0.9949665025886044,0.007483518682420254
516,00516.png,41.728237929343976,0.9951351997323217,0.008450282737612724
519,00519.png,41.662916872420375,0.9951285980433371,0.009235627949237823
522,00522.png,42.23741646952376,0.9956945423247282,0.009014423005282879
525,00525.png,42.63000263692609,0.9966188761272671,0.008647559210658073
528,00528.png,40.17001562034992,0.9959220309211472,0.009292636066675186
531,00531.png,41.85959381838471,0.9955667275238095,0.011431774124503136
534,00534.png,41.164645911735356,0.9962916078905528,0.009624293074011803
537,00537.png,42.12435361292057,0.9972394302672065,0.007002684287726879
540,00540.png,38.94405373163674,0.994976445632812,0.0065193395130336285
543,00543.png,42.93637502533527,0.9979828395436059,0.005063963588327169
546,00546.png,42.623791641308635,0.9985297658617663,0.0027142707258462906
549,00549.png,42.14620845764256,0.9989624736049908,0.0029463698156177998
552,00552.png,41.786319573669545,0.9993077289102302,0.002488881815224886
570,00570.png,43.48742157880929,0.9970602480797593,0.006036739330738783
573,00573.png,39.64693258537752,0.9945857298444456,0.00745522091165185
576,00576.png,41.32683868297961,0.9953720682215971,0.0048254854045808315
579,00579.png,42.20031364034546,0.9957614393326453,0.006684613414108753
582,00582.png,43.188570650493396,0.996094358579776,0.009672792628407478
585,00585.png,40.5246975859978,0.9958572153977104,0.009311764501035213
588,00588.png,38.95726153097477,0.9959261715632876,0.009777193889021873
591,00591.png,42.198595889732246,0.9962201332825328,0.011506155133247375
594,00594.png,42.30052523440633,0.9965114988088011,0.011645196005702019
597,00597.png,43.10501121329159,0.997634307054458,0.007506628055125475
